Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
18-24,129,,61,68, ,36,33,37,16,7, ,129,,,,, ,36,50,34,6,3, ,16,43,43,22,5, ,1,8,5,33,11,12,10,7,7,5,33,1,5,1,9,12,3,5,10,2,0, ,19,1,10,9,21,2,5,32,21,8,1, ,48,23,18,23,51,14,19,57,39,15,1, ,68,19,61
,13%,,12%,13%, ,13%,12%,13%,14%,13%, ,100%,,,,, ,14%,13%,13%,7%,18%, ,20%,16%,10%,12%,9%, ,8%,8%,21%,11%,19%,23%,23%,8%,26%,18%,12%,9%,9%,6%,14%,11%,5%,31%,9%,5%,0%, ,7%,2%,20%,20%,34%,11%,5%,17%,14%,17%,9%, ,10%,8%,8%,11%,24%,13%,6%,16%,12%,8%,10%, ,37%,13%,8%
25-34,225,,109,116, ,64,62,63,26,10, ,,225,,,, ,59,87,57,19,3, ,18,66,95,36,10, ,2,24,4,66,8,9,18,17,3,12,64,0,17,3,12,18,12,1,31,4,0, ,39,13,6,10,19,2,24,61,40,7,4, ,88,46,46,52,59,37,73,99,80,36,3, ,116,33,109
,22%,,22%,23%, ,23%,22%,23%,23%,19%, ,,100%,,,, ,23%,23%,22%,22%,18%, ,22%,25%,23%,20%,18%, ,17%,23%,17%,22%,14%,17%,41%,18%,11%,43%,24%,0%,32%,17%,19%,17%,21%,6%,26%,11%,0%, ,15%,21%,12%,22%,31%,11%,23%,32%,27%,15%,36%, ,19%,15%,21%,24%,28%,35%,24%,28%,25%,19%,30%, ,63%,23%,15%
35-44,261,,129,132, ,73,74,71,29,14, ,,,261,,, ,68,98,80,14,1, ,25,62,103,51,20, ,1,38,4,72,21,13,8,37,8,6,60,6,13,6,20,24,13,6,34,14,0, ,71,15,11,10,11,7,29,52,36,15,4, ,125,82,49,52,45,25,87,101,84,58,5, ,0,37,224
,26%,,26%,26%, ,26%,27%,25%,26%,26%, ,,,100%,,, ,27%,26%,31%,16%,6%, ,30%,23%,25%,28%,35%, ,8%,36%,17%,24%,37%,25%,18%,40%,30%,21%,22%,55%,25%,33%,32%,23%,23%,38%,29%,37%,0%, ,26%,24%,22%,22%,18%,39%,27%,28%,25%,33%,36%, ,26%,27%,23%,24%,22%,24%,28%,28%,26%,31%,50%, ,0%,26%,31%
45-54,211,,105,106, ,59,59,59,22,12, ,,,,211,, ,54,85,39,30,3, ,12,56,93,38,12, ,5,15,6,74,13,12,3,21,6,2,68,1,12,4,10,22,17,2,22,11,0, ,64,15,11,10,6,2,31,30,33,8,1, ,119,87,48,46,36,21,76,61,69,38,0, ,0,30,181
,21%,,21%,21%, ,21%,21%,21%,19%,23%, ,,,,100%,, ,21%,22%,15%,34%,18%, ,15%,21%,23%,21%,21%, ,42%,14%,25%,24%,23%,23%,7%,23%,22%,7%,25%,9%,23%,22%,16%,21%,30%,13%,19%,29%,0%, ,24%,24%,22%,22%,10%,11%,29%,16%,23%,17%,9%, ,25%,29%,22%,21%,17%,20%,25%,17%,22%,20%,0%, ,0%,21%,25%
55-64,176,,86,90, ,49,48,49,20,10, ,,,,,176, ,36,64,51,18,7, ,11,42,79,33,10, ,3,20,5,61,4,7,5,11,3,3,42,3,6,4,12,30,11,2,20,7,0, ,75,19,11,6,5,5,17,13,16,8,1, ,94,66,53,43,18,9,53,40,45,39,1, ,0,25,151
,18%,,18%,18%, ,17%,17%,18%,18%,19%, ,,,,,100%, ,14%,17%,20%,21%,41%, ,13%,16%,19%,18%,18%, ,25%,19%,21%,20%,7%,13%,11%,12%,11%,11%,16%,27%,11%,22%,19%,28%,20%,13%,17%,18%,0%, ,28%,30%,22%,13%,8%,28%,16%,7%,11%,17%,9%, ,20%,22%,25%,20%,9%,8%,17%,11%,14%,21%,10%, ,0%,17%,21%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 1 - This Christmas, how much money do you intend to spend in the following areas when compared to Christmas last year?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
"Food & Beverages
 - More ",323,,173,150, ,98,87,87,37,14, ,61,79,82,55,46, ,110,141,57,12,3, ,46,116,111,39,11, ,4,42,10,98,16,16,20,25,6,11,85,3,14,3,32,34,12,5,57,9,0, ,78,19,14,19,23,5,32,71,43,14,5, ,152,93,75,80,91,37,105,130,111,61,3, ,67,50,230
,32%,,35%,29%, ,35%,32%,31%,33%,26%, ,47%,35%,31%,26%,26%, ,0.434782608695652,0.3671875,0.218390804597701,0.137931034482759,0.176470588235294, ,0.560975609756098,0.431226765799257,0.268765133171913,0.216666666666667,0.192982456140351, ,0.333333333333333,0.4,0.416666666666667,0.320261437908497,0.280701754385965,0.30188679245283,0.454545454545455,0.268817204301075,0.222222222222222,0.392857142857143,0.318352059925094,0.272727272727273,0.264150943396226,0.166666666666667,0.507936507936508,0.320754716981132,0.214285714285714,0.3125,0.487179487179487,0.236842105263158,0, ,0.291044776119403,0.301587301587302,0.285714285714286,0.422222222222222,0.370967741935484,0.277777777777778,0.30188679245283,0.377659574468085,0.294520547945205,0.304347826086957,0.454545454545455, ,0.320675105485232,0.305921052631579,0.350467289719626,0.37037037037037,0.435406698564593,0.349056603773585,0.340909090909091,0.363128491620112,0.350157728706625,0.327956989247312,0.3, ,0.364130434782609,0.347222222222222,0.316804407713499
"Food & Beverages
 - Same",488,,248,240, ,141,137,132,53,25, ,50,108,120,111,99, ,109,179,147,45,8, ,26,124,206,105,27, ,5,48,10,156,29,28,14,46,15,11,122,6,24,15,24,50,29,5,46,21,0, ,143,29,25,22,26,10,57,72,78,23,3, ,230,155,100,100,82,54,139,159,143,91,6, ,86,68,360
,49%,,51%,47%, ,50%,50%,47%,47%,47%, ,39%,48%,46%,53%,56%, ,0.430830039525692,0.466145833333333,0.563218390804598,0.517241379310345,0.470588235294118, ,0.317073170731707,0.460966542750929,0.498789346246973,0.583333333333333,0.473684210526316, ,0.416666666666667,0.457142857142857,0.416666666666667,0.509803921568627,0.508771929824561,0.528301886792453,0.318181818181818,0.494623655913978,0.555555555555556,0.392857142857143,0.456928838951311,0.545454545454545,0.452830188679245,0.833333333333333,0.380952380952381,0.471698113207547,0.517857142857143,0.3125,0.393162393162393,0.552631578947368,0, ,0.533582089552239,0.46031746031746,0.510204081632653,0.488888888888889,0.419354838709677,0.555555555555556,0.537735849056604,0.382978723404255,0.534246575342466,0.5,0.272727272727273, ,0.485232067510549,0.509868421052632,0.467289719626168,0.462962962962963,0.392344497607655,0.509433962264151,0.451298701298701,0.444134078212291,0.451104100946372,0.489247311827957,0.6, ,0.467391304347826,0.472222222222222,0.495867768595041
"Food & Beverages
 - Less",191,,69,122, ,42,52,60,23,14, ,18,38,59,45,31, ,34,64,57,30,6, ,10,29,96,36,19, ,3,15,4,52,12,9,10,22,6,6,60,2,15,0,7,22,15,6,14,8,0, ,47,15,10,4,13,3,17,45,25,9,3, ,92,56,39,36,36,15,64,69,63,34,1, ,31,26,136
,19%,,14%,24%, ,15%,19%,22%,20%,26%, ,14%,17%,23%,21%,18%, ,0.134387351778656,0.166666666666667,0.218390804597701,0.344827586206897,0.352941176470588, ,0.121951219512195,0.107806691449814,0.232445520581114,0.2,0.333333333333333, ,0.25,0.142857142857143,0.166666666666667,0.169934640522876,0.210526315789474,0.169811320754717,0.227272727272727,0.236559139784946,0.222222222222222,0.214285714285714,0.224719101123595,0.181818181818182,0.283018867924528,0,0.111111111111111,0.207547169811321,0.267857142857143,0.375,0.11965811965812,0.210526315789474,0, ,0.175373134328358,0.238095238095238,0.204081632653061,0.0888888888888889,0.209677419354839,0.166666666666667,0.160377358490566,0.23936170212766,0.171232876712329,0.195652173913043,0.272727272727273, ,0.194092827004219,0.184210526315789,0.182242990654206,0.166666666666667,0.172248803827751,0.141509433962264,0.207792207792208,0.192737430167598,0.198738170347003,0.182795698924731,0.1, ,0.168478260869565,0.180555555555556,0.18732782369146
"Beauty & Cosmetics
 - More ",167,,85,82, ,37,47,53,23,7, ,42,29,45,31,20, ,75,65,21,5,1, ,33,79,43,9,3, ,2,22,2,53,9,9,8,11,3,5,41,1,8,2,22,14,6,4,33,3,0, ,36,14,9,10,7,3,19,34,25,9,1, ,80,52,40,38,44,28,60,59,60,38,0, ,37,17,122
,17%,,17%,16%, ,13%,17%,19%,20%,13%, ,33%,13%,17%,15%,11%, ,0.296442687747036,0.169270833333333,0.0804597701149425,0.0574712643678161,0.0588235294117647, ,0.402439024390244,0.29368029739777,0.104116222760291,0.05,0.0526315789473684, ,0.166666666666667,0.20952380952381,0.0833333333333333,0.173202614379085,0.157894736842105,0.169811320754717,0.181818181818182,0.118279569892473,0.111111111111111,0.178571428571429,0.153558052434457,0.0909090909090909,0.150943396226415,0.111111111111111,0.349206349206349,0.132075471698113,0.107142857142857,0.25,0.282051282051282,0.0789473684210526,0, ,0.134328358208955,0.222222222222222,0.183673469387755,0.222222222222222,0.112903225806452,0.166666666666667,0.179245283018868,0.180851063829787,0.171232876712329,0.195652173913043,0.0909090909090909, ,0.168776371308017,0.171052631578947,0.186915887850467,0.175925925925926,0.210526315789474,0.264150943396226,0.194805194805195,0.164804469273743,0.189274447949527,0.204301075268817,0, ,0.201086956521739,0.118055555555556,0.168044077134986
"Beauty & Cosmetics
 - Same",453,,242,211, ,145,126,108,50,24, ,53,94,121,104,81, ,109,179,130,30,5, ,33,116,195,86,23, ,4,54,10,136,25,25,15,40,13,11,140,5,27,7,23,46,31,7,46,23,0, ,129,26,21,22,27,10,41,76,73,22,6, ,212,141,97,107,90,49,134,154,134,81,6, ,76,71,331
,45%,,49%,41%, ,52%,46%,39%,44%,45%, ,41%,42%,46%,49%,46%, ,0.430830039525692,0.466145833333333,0.498084291187739,0.344827586206897,0.294117647058824, ,0.402439024390244,0.431226765799257,0.472154963680387,0.477777777777778,0.403508771929825, ,0.333333333333333,0.514285714285714,0.416666666666667,0.444444444444444,0.43859649122807,0.471698113207547,0.340909090909091,0.43010752688172,0.481481481481481,0.392857142857143,0.524344569288389,0.454545454545455,0.509433962264151,0.388888888888889,0.365079365079365,0.433962264150943,0.553571428571429,0.4375,0.393162393162393,0.605263157894737,0, ,0.48134328358209,0.412698412698413,0.428571428571429,0.488888888888889,0.435483870967742,0.555555555555556,0.386792452830189,0.404255319148936,0.5,0.478260869565217,0.545454545454545, ,0.447257383966245,0.463815789473684,0.453271028037383,0.49537037037037,0.430622009569378,0.462264150943396,0.435064935064935,0.430167597765363,0.422712933753943,0.435483870967742,0.6, ,0.41304347826087,0.493055555555556,0.455922865013774
"Beauty & Cosmetics
 - Less",382,,163,219, ,99,103,118,40,22, ,34,102,95,76,75, ,69,140,110,52,11, ,16,74,175,85,31, ,6,29,12,117,23,19,21,42,11,12,86,5,18,9,18,46,19,5,38,12,0, ,103,23,19,13,28,5,46,78,48,15,4, ,182,111,77,71,75,29,114,145,123,67,4, ,71,56,273
,38%,,33%,43%, ,35%,37%,42%,35%,42%, ,26%,45%,36%,36%,43%, ,0.272727272727273,0.364583333333333,0.421455938697318,0.597701149425287,0.647058823529412, ,0.195121951219512,0.275092936802974,0.423728813559322,0.472222222222222,0.543859649122807, ,0.5,0.276190476190476,0.5,0.382352941176471,0.403508771929825,0.358490566037736,0.477272727272727,0.451612903225806,0.407407407407407,0.428571428571429,0.322097378277154,0.454545454545455,0.339622641509434,0.5,0.285714285714286,0.433962264150943,0.339285714285714,0.3125,0.324786324786325,0.315789473684211,0, ,0.384328358208955,0.365079365079365,0.387755102040816,0.288888888888889,0.451612903225806,0.277777777777778,0.433962264150943,0.414893617021277,0.328767123287671,0.326086956521739,0.363636363636364, ,0.383966244725738,0.365131578947368,0.35981308411215,0.328703703703704,0.358851674641148,0.273584905660377,0.37012987012987,0.405027932960894,0.38801261829653,0.360215053763441,0.4, ,0.385869565217391,0.388888888888889,0.37603305785124
"Health & Wellness
 - More ",189,,121,68, ,44,65,50,21,9, ,44,38,52,24,31, ,65,80,34,8,2, ,26,81,56,21,5, ,2,21,4,68,12,10,14,11,5,6,39,2,8,4,19,13,11,6,38,5,0, ,32,18,11,11,8,8,19,40,27,12,3, ,78,50,36,37,49,39,68,82,67,31,1, ,29,16,151
,19%,,25%,13%, ,16%,24%,18%,19%,17%, ,34%,17%,20%,11%,18%, ,0.256916996047431,0.208333333333333,0.130268199233716,0.0919540229885057,0.117647058823529, ,0.317073170731707,0.301115241635688,0.135593220338983,0.116666666666667,0.087719298245614, ,0.166666666666667,0.2,0.166666666666667,0.222222222222222,0.210526315789474,0.188679245283019,0.318181818181818,0.118279569892473,0.185185185185185,0.214285714285714,0.146067415730337,0.181818181818182,0.150943396226415,0.222222222222222,0.301587301587302,0.122641509433962,0.196428571428571,0.375,0.324786324786325,0.131578947368421,0, ,0.119402985074627,0.285714285714286,0.224489795918367,0.244444444444444,0.129032258064516,0.444444444444444,0.179245283018868,0.212765957446809,0.184931506849315,0.260869565217391,0.272727272727273, ,0.164556962025316,0.164473684210526,0.168224299065421,0.171296296296296,0.23444976076555,0.367924528301887,0.220779220779221,0.229050279329609,0.211356466876972,0.166666666666667,0.1, ,0.157608695652174,0.111111111111111,0.207988980716253
"Health & Wellness
 - Same",540,,265,275, ,173,137,144,59,27, ,57,120,138,126,99, ,129,206,158,40,7, ,43,133,239,97,28, ,5,56,11,163,27,33,20,47,14,15,153,5,29,9,29,59,25,6,56,23,0, ,160,32,25,25,33,6,55,95,85,19,5, ,275,172,123,121,105,46,155,179,167,105,6, ,100,87,390
,54%,,54%,54%, ,62%,50%,52%,52%,51%, ,44%,53%,53%,60%,56%, ,0.509881422924901,0.536458333333333,0.60536398467433,0.459770114942529,0.411764705882353, ,0.524390243902439,0.494423791821561,0.578692493946731,0.538888888888889,0.491228070175439, ,0.416666666666667,0.533333333333333,0.458333333333333,0.532679738562091,0.473684210526316,0.622641509433962,0.454545454545455,0.505376344086022,0.518518518518518,0.535714285714286,0.573033707865168,0.454545454545455,0.547169811320755,0.5,0.46031746031746,0.556603773584906,0.446428571428571,0.375,0.478632478632479,0.605263157894737,0, ,0.597014925373134,0.507936507936508,0.510204081632653,0.555555555555556,0.532258064516129,0.333333333333333,0.518867924528302,0.50531914893617,0.582191780821918,0.41304347826087,0.454545454545455, ,0.580168776371308,0.565789473684211,0.574766355140187,0.560185185185185,0.502392344497608,0.433962264150943,0.503246753246753,0.5,0.526813880126183,0.564516129032258,0.6, ,0.543478260869565,0.604166666666667,0.537190082644628
"Health & Wellness
 - Less",273,,104,169, ,64,74,85,33,17, ,28,67,71,61,46, ,59,98,69,39,8, ,13,55,118,62,24, ,5,28,9,75,18,10,10,35,8,7,75,4,16,5,15,34,20,4,23,10,0, ,76,13,13,9,21,4,32,53,34,15,3, ,121,82,55,58,55,21,85,97,83,50,3, ,55,41,185
,27%,,21%,33%, ,23%,27%,30%,29%,32%, ,22%,30%,27%,29%,26%, ,0.233201581027668,0.255208333333333,0.264367816091954,0.448275862068966,0.470588235294118, ,0.158536585365854,0.204460966542751,0.285714285714286,0.344444444444444,0.421052631578947, ,0.416666666666667,0.266666666666667,0.375,0.245098039215686,0.315789473684211,0.188679245283019,0.227272727272727,0.376344086021505,0.296296296296296,0.25,0.280898876404494,0.363636363636364,0.30188679245283,0.277777777777778,0.238095238095238,0.320754716981132,0.357142857142857,0.25,0.196581196581197,0.263157894736842,0, ,0.283582089552239,0.206349206349206,0.26530612244898,0.2,0.338709677419355,0.222222222222222,0.30188679245283,0.281914893617021,0.232876712328767,0.326086956521739,0.272727272727273, ,0.255274261603376,0.269736842105263,0.257009345794392,0.268518518518519,0.263157894736842,0.19811320754717,0.275974025974026,0.270949720670391,0.261829652996845,0.268817204301075,0.3, ,0.298913043478261,0.284722222222222,0.254820936639118
"Fashion & Clothing
 - More ",242,,128,114, ,73,58,65,35,11, ,61,56,57,43,25, ,100,100,37,4,1, ,41,104,67,23,7, ,1,26,4,77,13,15,15,20,3,9,68,2,10,1,27,19,11,4,38,8,0, ,53,15,11,16,23,4,28,52,32,6,2, ,118,65,53,62,63,30,86,101,85,62,1, ,61,32,168
